symbol,Name,MarketCap,IPOyear,Sector,Industry,,,,,
KSPN,Kaspien Holdings Inc.,$23.31M,n/a,Consumer Services,Consumer Electronics/Video Chains,,,,,
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",$744.78M,2004,n/a,n/a,,,,,
KMF,"Kayne Anderson NextGen Energy & Infrastructure, In",$247.79M,2010,n/a,n/a,,,,,
KZIA,Kazia Therapeutics Limited,$94.53M,n/a,Health Care,Major Pharmaceuticals,,,,,
KB,KB Financial Group Inc,$16.41B,n/a,Finance,Commercial Banks,,,,,
KBH,KB Home,$3.44B,1986,Capital Goods,Homebuilding,,,,,
KBR,"KBR, Inc.",$3.96B,2006,Basic Industries,Military/Government/Technical,,,,,
KBSF,KBS Fashion Group Limited,$6.71M,2013,Consumer Non-Durables,Apparel,,,,,
BEKE,KE Holdings Inc,$74.7B,2020,Finance,Real Estate,,,,,
KRNY,Kearny Financial,$885.26M,n/a,Finance,Savings Institutions,,,,,
K,Kellogg Company,$21.97B,n/a,Consumer Non-Durables,Packaged Foods,,,,,
KELYA,"Kelly Services, Inc.",$804.01M,n/a,Technology,Professional Services,,,,,
KELYB,"Kelly Services, Inc.",$826.8M,n/a,Technology,Professional Services,,,,,
KIQ,Kelso Technologies Inc,$22.64M,n/a,Capital Goods,Railroads,,,,,
KMPR,Kemper Corporation,$4.9B,n/a,Finance,Property-Casualty Insurers,,,,,
KMT,Kennametal Inc.,$2.91B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
KW,Kennedy-Wilson Holdings Inc.,$2.26B,n/a,Finance,Real Estate,,,,,
KEN,Kenon Holdings Ltd.,$1.42B,2015,Public Utilities,Electric Utilities: Central,,,,,
KFFB,Kentucky First Federal Bancorp,$56.97M,n/a,Finance,Savings Institutions,,,,,
KROS,"Keros Therapeutics, Inc.",$1.75B,2020,Health Care,Major Pharmaceuticals,,,,,
KDP,Keurig Dr Pepper Inc.,$42.85B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),,,,,
KEQU,Kewaunee Scientific Corporation,$26.23M,n/a,Capital Goods,Medical Specialities,,,,,
KTCC,Key Tronic Corporation,$83.17M,1983,Technology,Electrical Products,,,,,
KEY,KeyCorp,$15.1B,n/a,Finance,Major Banks,,,,,
KEY^I,KeyCorp,n/a,n/a,n/a,n/a,,,,,
KEY^J,KeyCorp,n/a,n/a,n/a,n/a,,,,,
KEY^K,KeyCorp,n/a,n/a,n/a,n/a,,,,,
KEYS,Keysight Technologies Inc.,$22.24B,2014,Capital Goods,Industrial Machinery/Components,,,,,
KZR,"Kezar Life Sciences, Inc.",$304.45M,2018,Health Care,Major Pharmaceuticals,,,,,
KFRC,"Kforce, Inc.",$901.3M,1995,Technology,Professional Services,,,,,
KRC,Kilroy Realty Corporation,$7.05B,1997,Consumer Services,Real Estate Investment Trusts,,,,,
KE,"Kimball Electronics, Inc.",$387.46M,n/a,Technology,Electrical Products,,,,,
KBAL,"Kimball International, Inc.",$404.16M,n/a,Consumer Durables,Home Furnishings,,,,,
KRP,Kimbell Royalty Partners,$433.79M,2017,Energy,Oil & Gas Production,,,,,
KMB,Kimberly-Clark Corporation,$47.38B,n/a,Consumer Durables,Containers/Packaging,,,,,
KIM,Kimco Realty Corporation,$6.25B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
KIM^L,Kimco Realty Corporation,n/a,n/a,n/a,n/a,,,,,
KIM^M,Kimco Realty Corporation,n/a,n/a,n/a,n/a,,,,,
KMI,"Kinder Morgan, Inc.",$32.55B,2011,Public Utilities,Natural Gas Distribution,,,,,
KIN,"Kindred Biosciences, Inc.",$153.46M,2013,Health Care,Major Pharmaceuticals,,,,,
KC,Kingsoft Cloud Holdings Limited,$8.77B,2020,Technology,Computer Software: Prepackaged Software,,,,,
KINS,"Kingstone Companies, Inc",$70.4M,n/a,Finance,Property-Casualty Insurers,,,,,
KFS,"Kingsway Financial Services, Inc.",$70.18M,n/a,Finance,Property-Casualty Insurers,,,,,
KWAC.U,Kingswood Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
KNSA,"Kiniksa Pharmaceuticals, Ltd.",$1.27B,2018,Health Care,Major Pharmaceuticals,,,,,
KGC,Kinross Gold Corporation,$8.98B,n/a,Basic Industries,Precious Metals,,,,,
KINZ,KINS Technology Group Inc.,n/a,n/a,n/a,n/a,,,,,
KINZU,KINS Technology Group Inc.,n/a,n/a,Finance,Business Services,,,,,
KNSL,"Kinsale Capital Group, Inc.",$5.45B,2016,Finance,Property-Casualty Insurers,,,,,
KTRA,"Kintara Therapeutics, Inc.",$33.29M,n/a,Health Care,Major Pharmaceuticals,,,,,
KEX,Kirby Corporation,$3.04B,n/a,Consumer Services,Marine Transportation,,,,,
KL,Kirkland Lake Gold Ltd.,$11.19B,n/a,Basic Industries,Precious Metals,,,,,
KIRK,"Kirkland&#39;s, Inc.",$203.61M,2002,Consumer Services,Other Specialty Stores,,,,,
KRBP,"Kiromic BioPharma, Inc.",$62.33M,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
KSMT,Kismet Acquisition One Corp,$311.15M,2020,Finance,Business Services,,,,,
KSMTU,Kismet Acquisition One Corp,n/a,2020,Finance,Business Services,,,,,
KSMTW,Kismet Acquisition One Corp,n/a,n/a,Finance,Business Services,,,,,
KRG,Kite Realty Group Trust,$1.21B,2004,Consumer Services,Real Estate Investment Trusts,,,,,
KTOV,Kitov Pharma Ltd.,$75.21M,2015,Health Care,Major Pharmaceuticals,,,,,
KKR,KKR & Co. Inc.,$21.59B,n/a,Finance,Investment Managers,,,,,
KKR^A,KKR & Co. Inc.,n/a,n/a,n/a,n/a,,,,,
KKR^B,KKR & Co. Inc.,n/a,n/a,n/a,n/a,,,,,
KKR^C,KKR & Co. Inc.,n/a,n/a,n/a,n/a,,,,,
KIO,KKR Income Opportunities Fund,$286.39M,2013,n/a,n/a,,,,,
KREF,KKR Real Estate Finance Trust Inc.,$1.01B,2017,Consumer Services,Real Estate Investment Trusts,,,,,
KLAC,KLA Corporation ,$38.92B,1980,Capital Goods,Electronic Components,,,,,
KLXE,"KLX Energy Services Holdings, Inc. ",$57.05M,n/a,Energy,Oilfield Services/Equipment,,,,,
KNX,"Knight Transportation, Inc.",$7.01B,2017,Transportation,Trucking Freight/Courier Services,,,,,
KNL,"Knoll, Inc.",$692.32M,2004,Consumer Durables,Office Equipment/Supplies/Services,,,,,
KNOP,KNOT Offshore Partners LP,$477.66M,2013,Consumer Services,Marine Transportation,,,,,
KN,Knowles Corporation,$1.56B,2014,Consumer Non-Durables,Consumer Electronics/Appliances,,,,,
KOD,Kodiak Sciences Inc,$6.94B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
KSS,Kohl&#39;s Corporation,$5.08B,1992,Consumer Services,Department/Specialty Retail Stores,,,,,
PHG,Koninklijke Philips N.V.,$46.86B,n/a,Energy,Consumer Electronics/Appliances,,,,,
KTB,"Kontoor Brands, Inc.",$2.38B,2019,Consumer Non-Durables,Apparel,,,,,
KOPN,Kopin Corporation,$170.11M,1992,Technology,Semiconductors,,,,,
KOP,Koppers Holdings Inc.,$570.24M,2006,Basic Industries,Forest Products,,,,,
KEP,Korea Electric Power Corporation,$12.18B,1994,Public Utilities,Electric Utilities: Central,,,,,
KF,"Korea Fund, Inc. (The)",$180.9M,n/a,n/a,n/a,,,,,
KFY,Korn Ferry ,$2.19B,1999,Technology,Diversified Commercial Services,,,,,
KRNT,Kornit Digital Ltd.,$3.82B,2015,Capital Goods,Industrial Machinery/Components,,,,,
KOS,Kosmos Energy Ltd.,$713.6M,2011,Energy,Oil & Gas Production,,,,,
KOSS,Koss Corporation,$15.99M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,,,,,
KWEB,KraneShares Trust KraneShares CSI China Internet ETF,$256.5M,n/a,n/a,n/a,,,,,
KRA,Kraton Corporation,$860.54M,2009,Basic Industries,Major Chemicals,,,,,
KTOS,"Kratos Defense & Security Solutions, Inc.",$2.6B,n/a,Capital Goods,Military/Government/Technical,,,,,
KR,Kroger Company (The),$25.55B,n/a,Consumer Services,Food Chains,,,,,
KRON,"Kronos Bio, Inc.",$1.8B,2020,Health Care,Major Pharmaceuticals,,,,,
KRO,Kronos Worldwide Inc,$1.59B,n/a,Basic Industries,Major Chemicals,,,,,
KRYS,"Krystal Biotech, Inc.",$1.08B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
KT,KT Corporation,$5.31B,n/a,Public Utilities,Telecommunications Equipment,,,,,
KBNT,"Kubient, Inc.",$32.02M,2020,Technology,EDP Services,,,,,
KBNTW,"Kubient, Inc.",n/a,2020,Technology,EDP Services,,,,,
KLIC,"Kulicke and Soffa Industries, Inc.",$1.89B,n/a,Technology,Semiconductors,,,,,
KURA,"Kura Oncology, Inc.",$2.06B,n/a,Health Care,Major Pharmaceuticals,,,,,
KRUS,"Kura Sushi USA, Inc.",$137.4M,2019,Consumer Services,Restaurants,,,,,
KVHI,"KVH Industries, Inc.",$188.52M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,
KYMR,"Kymera Therapeutics, Inc.",$2.07B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
LB,"L Brands, Inc.",$10.78B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,
LNFA.U,L&amp;F Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
FSTR,L.B. Foster Company,$156.46M,n/a,Basic Industries,Metal Fabrications,,,,,
SCX,L.S. Starrett Company (The),$27M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
LHX,"L3Harris Technologies, Inc.",$40.34B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
LJPC,La Jolla Pharmaceutical Company,$136.08M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
LH,Laboratory Corporation of America Holdings,$19.46B,n/a,Health Care,Medical Specialities,,,,,
LADR,Ladder Capital Corp,$1.1B,2014,Consumer Services,Real Estate Investment Trusts,,,,,
LSF,"Laird Superfood, Inc.",$429.63M,2020,Consumer Non-Durables,Packaged Foods,,,,,
LAIX,LAIX Inc.,$75.6M,2018,Consumer Services,Other Consumer Services,,,,,
LSBK,"Lake Shore Bancorp, Inc.",$79.67M,n/a,Finance,Savings Institutions,,,,,
LBAI,"Lakeland Bancorp, Inc.",$606.64M,n/a,Finance,Major Banks,,,,,
LKFN,Lakeland Financial Corporation,$1.31B,n/a,Finance,Major Banks,,,,,
LAKE,"Lakeland Industries, Inc.",$158.16M,1986,Health Care,Industrial Specialties,,,,,
LRCX,Lam Research Corporation,$65.19B,1984,Technology,Industrial Machinery/Components,,,,,
LAMR,Lamar Advertising Company,$8.03B,1996,Consumer Services,Real Estate Investment Trusts,,,,,
LW,"Lamb Weston Holdings, Inc.",$10.59B,2016,Consumer Non-Durables,Packaged Foods,,,,,
LANC,Lancaster Colony Corporation,$4.66B,n/a,Consumer Non-Durables,Packaged Foods,,,,,
LCA,"Landcadia Holdings II, Inc.",$790.63M,2019,Technology,Computer Software: Prepackaged Software,,,,,
LCAHU,"Landcadia Holdings II, Inc.",n/a,2019,Technology,Computer Software: Prepackaged Software,,,,,
LCAHW,"Landcadia Holdings II, Inc.",n/a,2019,Technology,Computer Software: Prepackaged Software,,,,,
LCY,"Landcadia Holdings III, Inc.",n/a,2020,Technology,Computer Software: Prepackaged Software,,,,,
LCYAU,"Landcadia Holdings III, Inc.",n/a,2020,Finance,Business Services,,,,,
LCYAW,"Landcadia Holdings III, Inc.",n/a,2020,Finance,Business Services,,,,,
LNDC,Landec Corporation,$302.65M,1996,Consumer Non-Durables,Packaged Foods,,,,,
LARK,Landmark Bancorp Inc.,$117.85M,n/a,Finance,Major Banks,,,,,
LMRK,Landmark Infrastructure Partners LP,$259.88M,2014,Consumer Services,Real Estate,,,,,
LMRKN,Landmark Infrastructure Partners LP,n/a,n/a,Consumer Services,Real Estate,,,,,
LMRKO,Landmark Infrastructure Partners LP,n/a,n/a,Consumer Services,Real Estate,,,,,
LMRKP,Landmark Infrastructure Partners LP,n/a,n/a,Consumer Services,Real Estate,,,,,
LE,"Lands&#39; End, Inc.",$813.14M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,
LSTR,"Landstar System, Inc.",$5.04B,1993,Transportation,Trucking Freight/Courier Services,,,,,
LCI,Lannett Co Inc,$256.41M,n/a,Health Care,Major Pharmaceuticals,,,,,
LTRN,Lantern Pharma Inc.,$98.18M,2020,Health Care,Major Pharmaceuticals,,,,,
LNTH,"Lantheus Holdings, Inc.",$880.03M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,
LTRX,"Lantronix, Inc.",$121.8M,2000,Technology,Computer Communications Equipment,,,,,
LPI,"Laredo Petroleum, Inc.",$141.76M,2011,Energy,Oil & Gas Production,,,,,
LRMR,"Larimar Therapeutics, Inc.",$341.21M,2014,Health Care,Major Pharmaceuticals,,,,,
LVS,Las Vegas Sands Corp.,$42.55B,2004,Consumer Services,Hotels/Resorts,,,,,
LSCC,Lattice Semiconductor Corporation,$5.7B,n/a,Technology,Semiconductors,,,,,
LAUR,"Laureate Education, Inc.",$2.98B,2017,Consumer Services,Other Consumer Services,,,,,
LAWS,"Lawson Products, Inc.",$426.59M,n/a,Consumer Durables,Industrial Specialties,,,,,
LGI,Lazard Global Total Return and Income Fund,$224.68M,2004,n/a,n/a,,,,,
LAZ,Lazard Ltd.,$3.92B,2005,Finance,Investment Managers,,,,,
LZB,La-Z-Boy Incorporated,$1.71B,n/a,Consumer Durables,Home Furnishings,,,,,
LAZY,"Lazydays Holdings, Inc.",$155.96M,n/a,Consumer Durables,Automotive Aftermarket,,,,,
LCII,LCI Industries ,$3.16B,n/a,Capital Goods,Auto Parts:O.E.M.,,,,,
LCNB,LCNB Corporation,$190.6M,n/a,Finance,Major Banks,,,,,
LEAF,Leaf Group Ltd.,$154.48M,n/a,Technology,EDP Services,,,,,
LPTX,"LEAP THERAPEUTICS, INC.",$95.45M,n/a,Health Care,Major Pharmaceuticals,,,,,
LEA,Lear Corporation,$8.58B,n/a,Capital Goods,Auto Parts:O.E.M.,,,,,
LEE,"Lee Enterprises, Incorporated",$61.86M,n/a,Consumer Services,Newspapers/Magazines,,,,,
LFTRU,Lefteris Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
LEGH,Legacy Housing Corporation,$360.46M,2018,Basic Industries,Homebuilding,,,,,
LEGO,Legato Merger Corp.,n/a,n/a,n/a,n/a,,,,,
LEGOU,Legato Merger Corp.,n/a,n/a,Finance,Business Services,,,,,
LEGN,Legend Biotech Corporation,$3.84B,2020,Health Care,Major Pharmaceuticals,,,,,
INFR,Legg Mason Global Infrastructure ETF,n/a,n/a,n/a,n/a,,,,,
LVHD,Legg Mason Low Volatility High Dividend ETF,n/a,n/a,n/a,n/a,,,,,
SQLV,Legg Mason Small-Cap Quality Value ETF,n/a,n/a,n/a,n/a,,,,,
LEG,"Leggett & Platt, Incorporated",$5.71B,n/a,Consumer Durables,Home Furnishings,,,,,
JBK,Lehman ABS Corporation,n/a,n/a,Finance,Finance: Consumer Services,,,,,
KTH,Lehman ABS Corporation,n/a,n/a,Finance,Finance: Consumer Services,,,,,
KTN,Lehman ABS Corporation,n/a,n/a,Finance,Finance: Consumer Services,,,,,
LDOS,"Leidos Holdings, Inc.",$14.33B,n/a,Technology,EDP Services,,,,,
LACQ,Leisure Acquisition Corp.,$70.02M,2017,Finance,Business Services,,,,,
LACQU,Leisure Acquisition Corp.,n/a,2017,Finance,Business Services,,,,,
LACQW,Leisure Acquisition Corp.,n/a,2017,Finance,Business Services,,,,,
LEJU,Leju Holdings Limited,$301.23M,2014,Finance,Real Estate,,,,,
LMAT,"LeMaitre Vascular, Inc.",$801.27M,2006,Health Care,Medical/Dental Instruments,,,,,
LMND,"Lemonade, Inc.",$3.92B,2020,Finance,Property-Casualty Insurers,,,,,
LC,LendingClub Corporation,$624.3M,2014,Finance,Finance: Consumer Services,,,,,
TREE,"LendingTree, Inc.",$3.36B,n/a,Finance,Finance: Consumer Services,,,,,
LEN,Lennar Corporation,$23.72B,n/a,Basic Industries,Homebuilding,,,,,
LEN.B,Lennar Corporation,n/a,n/a,Basic Industries,Homebuilding,,,,,
LII,"Lennox International, Inc.",$11.02B,1999,Capital Goods,Industrial Machinery/Components,,,,,
LNSR,"LENSAR, Inc.",$91.17M,n/a,Health Care,Medical/Dental Instruments,,,,,
LESL,"Leslie&#39;s, Inc.",$3.86B,2020,Consumer Services,Other Specialty Stores,,,,,
LEVL,"Level One Bancorp, Inc.",$147.49M,2018,Finance,Major Banks,,,,,
LEVLP,"Level One Bancorp, Inc.",n/a,n/a,Finance,Major Banks,,,,,
LEVI,Levi Strauss & Co,$7.3B,2019,Consumer Non-Durables,Apparel,,,,,
LXRX,"Lexicon Pharmaceuticals, Inc.",$179.74M,n/a,Health Care,Major Pharmaceuticals,,,,,
LX,LexinFintech Holdings Ltd.,$1.35B,2017,Finance,Finance: Consumer Services,,,,,
LXP,Lexington Realty Trust,$2.83B,n/a,n/a,n/a,,,,,
LXP^C,Lexington Realty Trust,n/a,n/a,n/a,n/a,,,,,
LFAC,LF Capital Acquistion Corp.,$170.52M,2018,Capital Goods,Homebuilding,,,,,
LFACU,LF Capital Acquistion Corp.,n/a,2018,Capital Goods,Homebuilding,,,,,
LFACW,LF Capital Acquistion Corp.,n/a,2018,Capital Goods,Homebuilding,,,,,
LPL,"LG Display Co., Ltd.",$4.92B,2004,Capital Goods,Industrial Machinery/Components,,,,,
LGIH,"LGI Homes, Inc.",$2.71B,2013,Capital Goods,Homebuilding,,,,,
LGL,"LGL Group, Inc. (The)",$50.26M,n/a,Capital Goods,Industrial Machinery/Components,,,,,
LGL.WS,"LGL Group, Inc. (The)",n/a,n/a,n/a,n/a,,,,,
DFNS,LGL Systems Acquisition Corp.,$217.78M,2020,Finance,Business Services,,,,,
DFNS.U,LGL Systems Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
DFNS.WS,LGL Systems Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
LHCG,LHC Group,$6.2B,2005,Health Care,Medical/Nursing Services,,,,,
LI,Li Auto Inc.,$30.1B,2020,Capital Goods,Auto Manufacturing,,,,,
LLIT,Lianluo Smart Limited,$2.18M,n/a,Consumer Services,Other Specialty Stores,,,,,
USA,Liberty All-Star Equity Fund,$1.4B,1986,n/a,n/a,,,,,
ASG,"Liberty All-Star Growth Fund, Inc.",$335.21M,n/a,n/a,n/a,,,,,
LBRDA,Liberty Broadband Corporation,$27.98B,n/a,Consumer Services,Television Services,,,,,
LBRDK,Liberty Broadband Corporation,$28.09B,n/a,Consumer Services,Television Services,,,,,
LBTYA,Liberty Global plc,$13.13B,n/a,n/a,n/a,,,,,
LBTYB,Liberty Global plc,$13.17B,n/a,Consumer Services,Television Services,,,,,
LBTYK,Liberty Global plc,$12.62B,n/a,n/a,n/a,,,,,
LILA,Liberty Latin America Ltd.,$2.63B,n/a,Consumer Services,Television Services,,,,,
LILAK,Liberty Latin America Ltd.,$2.62B,n/a,Consumer Services,Television Services,,,,,
BATRA,Liberty Media Corporation,$1.29B,n/a,Consumer Services,Broadcasting,,,,,
BATRK,Liberty Media Corporation,$1.28B,n/a,Consumer Services,Broadcasting,,,,,
FWONA,Liberty Media Corporation,$8.77B,n/a,Consumer Services,Broadcasting,,,,,
FWONK,Liberty Media Corporation,$9.68B,n/a,Consumer Services,Broadcasting,,,,,
LSXMA,Liberty Media Corporation,$13.93B,n/a,Consumer Services,Broadcasting,,,,,
LSXMB,Liberty Media Corporation,$16.14B,n/a,Consumer Services,Broadcasting,,,,,
LSXMK,Liberty Media Corporation,$13.96B,n/a,Consumer Services,Broadcasting,,,,,
LBRT,Liberty Oilfield Services Inc.,$1.05B,2018,Energy,Oilfield Services/Equipment,,,,,
LTRPA,"Liberty TripAdvisor Holdings, Inc.",$206.58M,n/a,Technology,EDP Services,,,,,
LTRPB,"Liberty TripAdvisor Holdings, Inc.",$2.48B,n/a,Technology,EDP Services,,,,,
LSI,"Life Storage, Inc.",$5.33B,n/a,Consumer Services,Real Estate Investment Trusts,,,,,
LSAC,LifeSci Acquisition Corp.,$135.38M,2020,Health Care,Major Pharmaceuticals,,,,,
LSACU,LifeSci Acquisition Corp.,n/a,2020,Health Care,Major Pharmaceuticals,,,,,
LSACW,LifeSci Acquisition Corp.,n/a,2020,Health Care,Major Pharmaceuticals,,,,,
LSAQ,LifeSci Acquisition II Corp.,$100.44M,2020,Finance,Business Services,,,,,
LCUT,"Lifetime Brands, Inc.",$293.22M,1991,Capital Goods,Industrial Machinery/Components,,,,,
LFVN,Lifevantage Corporation,$151.62M,n/a,Health Care,Major Pharmaceuticals,,,,,
LWAY,"Lifeway Foods, Inc.",$109.39M,n/a,Consumer Non-Durables,Packaged Foods,,,,,
LGND,Ligand Pharmaceuticals Incorporated,$1.36B,n/a,Health Care,Major Pharmaceuticals,,,,,
LTBR,Lightbridge Corporation,$12.78M,n/a,Consumer Services,Professional Services,,,,,
LITB,"LightInTheBox Holding Co., Ltd.",$348.74M,2013,Consumer Services,Catalog/Specialty Distribution,,,,,
LPTH,"LightPath Technologies, Inc.",$81.2M,1996,Technology,Semiconductors,,,,,
LSPD,Lightspeed POS Inc.,$5.82B,n/a,Technology,Computer Software: Prepackaged Software,,,,,
LMB,"Limbach Holdings, Inc.",$93.92M,n/a,Basic Industries,Engineering & Construction,,,,,
LLNW,"Limelight Networks, Inc.",$544.77M,2007,Miscellaneous,Business Services,,,,,
LMST,"Limestone Bancorp, Inc.",$91.2M,n/a,Finance,Major Banks,,,,,
LMNL,Liminal BioSciences Inc.,$117.25M,n/a,Health Care,Major Pharmaceuticals,,,,,
LMNR,Limoneira Co,$260.64M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,,,,,
LINC,Lincoln Educational Services Corporation,$166.01M,2005,Consumer Services,Other Consumer Services,,,,,
LECO,"Lincoln Electric Holdings, Inc.",$6.84B,n/a,Technology,Industrial Machinery/Components,,,,,
LNC,Lincoln National Corporation,$9.13B,n/a,Finance,Life Insurance,,,,,
LIND,Lindblad Expeditions Holdings Inc. ,$638.9M,2013,Consumer Services,Transportation Services,,,,,
LIN,Linde plc,$134.58B,2018,Basic Industries,Major Chemicals,,,,,
LNN,Lindsay Corporation,$1.26B,n/a,Capital Goods,Industrial Machinery/Components,,,,,
LN,LINE Corporation,$12.58B,2016,Technology,"Computer Software: Programming, Data Processing",,,,,
LCTX,"Lineage Cell Therapeutics, Inc.",$214.47M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
LINX,Linx S.A.,$1.19B,2019,Technology,Computer Software: Prepackaged Software,,,,,
LGHL,Lion Group Holding Ltd.,$46.11M,n/a,Finance,Investment Bankers/Brokers/Service,,,,,
LGHLW,Lion Group Holding Ltd.,n/a,n/a,Finance,Investment Bankers/Brokers/Service,,,,,
LCAP,Lionheart Acquisition Corp. II,$292.53M,2020,Finance,Business Services,,,,,
LCAPU,Lionheart Acquisition Corp. II,n/a,2020,Finance,Business Services,,,,,
LCAPW,Lionheart Acquisition Corp. II,n/a,2020,Finance,Business Services,,,,,
LGF.A,Lions Gate Entertainment Corporation,n/a,n/a,n/a,n/a,,,,,
LGF.B,Lions Gate Entertainment Corporation,n/a,2016,n/a,n/a,,,,,
LPCN,Lipocine Inc.,$105.1M,n/a,Health Care,Major Pharmaceuticals,,,,,
LIQT,"LiqTech International, Inc.",$156.79M,n/a,Technology,Industrial Machinery/Components,,,,,
YVR,Liquid Media Group Ltd.,$17.39M,n/a,Technology,Computer Software: Prepackaged Software,,,,,
LQDA,Liquidia Corporation,$105.33M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
LQDT,"Liquidity Services, Inc.",$323.77M,2006,Miscellaneous,Business Services,,,,,
LAD,"Lithia Motors, Inc.",$7.67B,n/a,Consumer Durables,Automotive Aftermarket,,,,,
LAC,Lithium Americas Corp.,$1.03B,n/a,Basic Industries,Precious Metals,,,,,
LFUS,"Littelfuse, Inc.",$5.86B,n/a,Consumer Durables,Electrical Products,,,,,
LIVK,LIV Capital Acquisition Corp.,$100.11M,2020,Finance,Business Services,,,,,
LIVKU,LIV Capital Acquisition Corp.,n/a,2019,Finance,Business Services,,,,,
LIVKW,LIV Capital Acquisition Corp.,n/a,2020,Finance,Business Services,,,,,
LIVN,LivaNova PLC,$2.57B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,
LYV,"Live Nation Entertainment, Inc.",$14.01B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,,,,,
LOAK,Live Oak Acquisition Corp.,$312.5M,2020,Basic Industries,Major Chemicals,,,,,
LOAK.U,Live Oak Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
LOAK.WS,Live Oak Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
LOB,"Live Oak Bancshares, Inc.",$1.67B,2015,Finance,Major Banks,,,,,
LIVE,Live Ventures Incorporated,$19.48M,n/a,Finance,Finance/Investors Services,,,,,
LTHM,Livent Corporation,$2.22B,2018,Basic Industries,Major Chemicals,,,,,
LPSN,"LivePerson, Inc.",$3.91B,2000,Technology,Computer Software: Prepackaged Software,,,,,
RAMP,"LiveRamp Holdings, Inc.",$3.88B,2018,Technology,EDP Services,,,,,
LIVX,"LiveXLive Media, Inc.",$180.26M,n/a,Consumer Services,Restaurants,,,,,
LXEH,"Lixiang Education Holding Co., Ltd.",$128.53M,2020,Consumer Services,Other Consumer Services,,,,,
LIXT,"Lixte Biotechnology Holdings, Inc.",$42.35M,n/a,Health Care,Major Pharmaceuticals,,,,,
LIXTW,"Lixte Biotechnology Holdings, Inc.",n/a,n/a,Health Care,Major Pharmaceuticals,,,,,
LIZI,LIZHI INC.,$111.65M,2020,Technology,"Computer Software: Programming, Data Processing",,,,,
LKQ,LKQ Corporation,$10.72B,n/a,Consumer Services,Motor Vehicles,,,,,
LYG,Lloyds Banking Group Plc,$32.4B,n/a,Finance,Commercial Banks,,,,,
LMFA,"LM Funding America, Inc.",$10.86M,2015,Finance,Finance: Consumer Services,,,,,
LMPX,"LMP Automotive Holdings, Inc.",$267.89M,2019,Consumer Durables,Automotive Aftermarket,,,,,
SCD,LMP Capital and Income Fund Inc.,$203.75M,2004,n/a,n/a,,,,,
LMT,Lockheed Martin Corporation,$102.12B,n/a,Capital Goods,Military/Government/Technical,,,,,
L,Loews Corporation,$11.52B,n/a,Finance,Property-Casualty Insurers,,,,,
LOGC,"LogicBio Therapeutics, Inc.",$221.55M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,
LOGI,Logitech International S.A.,$15.27B,1997,Technology,Computer peripheral equipment,,,,,
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,$654.41M,2017,Capital Goods,Building Materials,,,,,
CNCR,Loncar Cancer Immunotherapy ETF,n/a,n/a,n/a,n/a,,,,,
CHNA,Loncar China BioPharma ETF,n/a,n/a,n/a,n/a,,,,,
LOAC,Longevity Acquisition Corporation,$28.26M,2018,Finance,Business Services,,,,,
LOACR,Longevity Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
LOACU,Longevity Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
LOACW,Longevity Acquisition Corporation,n/a,2018,Finance,Business Services,,,,,
LGVW,Longview Acquisition Corp.,$815.06M,2020,Finance,Business Services,,,,,
LGVW.U,Longview Acquisition Corp.,n/a,2020,n/a,n/a,,,,,
LGVW.WS,Longview Acquisition Corp.,n/a,n/a,n/a,n/a,,,,,
